order_id,customer_id,product_id,quantity,price,order_date,user_data,geo,weather_data
2334,5,40,3,35.6,2022-06-21,"{'id': 5, 'name': 'Chelsey Dietrich', 'username': 'Kamren', 'email': 'Lucio_Hettinger@annie.ca', 'address': {'street': 'Skiles Walks', 'suite': 'Suite 351', 'city': 'Roscoeview', 'zipcode': '33263', 'geo': {'lat': '-31.8129', 'lng': '62.5342'}}, 'phone': '(254)954-1289', 'website': 'demarco.info', 'company': {'name': 'Keebler LLC', 'catchPhrase': 'User-centric fault-tolerant solution', 'bs': 'revolutionize end-to-end systems'}}","{'lat': '-31.8129', 'lng': '62.5342'}","{'coord': {'lon': 62.5342, 'lat': -31.8129}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 295.12, 'feels_like': 295.33, 'temp_min': 295.12, 'temp_max': 295.12, 'pressure': 1021, 'humidity': 75, 'sea_level': 1021, 'grnd_level': 1021}, 'visibility': 10000, 'wind': {'speed': 7.21, 'deg': 114, 'gust': 7.29}, 'clouds': {'all': 26}, 'dt': 1709052806, 'sys': {'sunrise': 1708997841, 'sunset': 1709044108}, 'timezone': 14400, 'id': 0, 'name': '', 'cod': 200}"
6228,8,13,7,36.52,2023-03-08,"{'id': 8, 'name': 'Nicholas Runolfsdottir V', 'username': 'Maxime_Nienow', 'email': 'Sherwood@rosamond.me', 'address': {'street': 'Ellsworth Summit', 'suite': 'Suite 729', 'city': 'Aliyaview', 'zipcode': '45169', 'geo': {'lat': '-14.3990', 'lng': '-120.7677'}}, 'phone': '586.493.6943 x140', 'website': 'jacynthe.com', 'company': {'name': 'Abernathy Group', 'catchPhrase': 'Implemented secondary concept', 'bs': 'e-enable extensible e-tailers'}}","{'lat': '-14.3990', 'lng': '-120.7677'}","{'coord': {'lon': -120.7677, 'lat': -14.399}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 298.84, 'feels_like': 299.48, 'temp_min': 298.84, 'temp_max': 298.84, 'pressure': 1016, 'humidity': 77, 'sea_level': 1016, 'grnd_level': 1016}, 'visibility': 10000, 'wind': {'speed': 6.75, 'deg': 96, 'gust': 7.49}, 'clouds': {'all': 5}, 'dt': 1709052796, 'sys': {'sunrise': 1709042630, 'sunset': 1709087293}, 'timezone': -28800, 'id': 0, 'name': '', 'cod': 200}"
7784,9,44,4,46.56,2023-04-22,"{'id': 9, 'name': 'Glenna Reichert', 'username': 'Delphine', 'email': 'Chaim_McDermott@dana.io', 'address': {'street': 'Dayna Park', 'suite': 'Suite 449', 'city': 'Bartholomebury', 'zipcode': '76495-3109', 'geo': {'lat': '24.6463', 'lng': '-168.8889'}}, 'phone': '(775)976-6794 x41206', 'website': 'conrad.com', 'company': {'name': 'Yost and Sons', 'catchPhrase': 'Switchable contextually-based project', 'bs': 'aggregate real-time technologies'}}","{'lat': '24.6463', 'lng': '-168.8889'}","{'coord': {'lon': -168.8889, 'lat': 24.6463}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 295.44, 'feels_like': 295.81, 'temp_min': 295.44, 'temp_max': 295.44, 'pressure': 1022, 'humidity': 80, 'sea_level': 1022, 'grnd_level': 1022}, 'visibility': 10000, 'wind': {'speed': 7.82, 'deg': 109, 'gust': 9.2}, 'clouds': {'all': 100}, 'dt': 1709052792, 'sys': {'sunrise': 1709055617, 'sunset': 1709097402}, 'timezone': -36000, 'id': 0, 'name': '', 'cod': 200}"
6588,5,26,1,15.87,2022-10-23,"{'id': 5, 'name': 'Chelsey Dietrich', 'username': 'Kamren', 'email': 'Lucio_Hettinger@annie.ca', 'address': {'street': 'Skiles Walks', 'suite': 'Suite 351', 'city': 'Roscoeview', 'zipcode': '33263', 'geo': {'lat': '-31.8129', 'lng': '62.5342'}}, 'phone': '(254)954-1289', 'website': 'demarco.info', 'company': {'name': 'Keebler LLC', 'catchPhrase': 'User-centric fault-tolerant solution', 'bs': 'revolutionize end-to-end systems'}}","{'lat': '-31.8129', 'lng': '62.5342'}","{'coord': {'lon': 62.5342, 'lat': -31.8129}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 295.12, 'feels_like': 295.33, 'temp_min': 295.12, 'temp_max': 295.12, 'pressure': 1021, 'humidity': 75, 'sea_level': 1021, 'grnd_level': 1021}, 'visibility': 10000, 'wind': {'speed': 7.21, 'deg': 114, 'gust': 7.29}, 'clouds': {'all': 26}, 'dt': 1709052793, 'sys': {'sunrise': 1708997841, 'sunset': 1709044108}, 'timezone': 14400, 'id': 0, 'name': '', 'cod': 200}"
5910,8,32,10,77.0,2022-10-05,"{'id': 8, 'name': 'Nicholas Runolfsdottir V', 'username': 'Maxime_Nienow', 'email': 'Sherwood@rosamond.me', 'address': {'street': 'Ellsworth Summit', 'suite': 'Suite 729', 'city': 'Aliyaview', 'zipcode': '45169', 'geo': {'lat': '-14.3990', 'lng': '-120.7677'}}, 'phone': '586.493.6943 x140', 'website': 'jacynthe.com', 'company': {'name': 'Abernathy Group', 'catchPhrase': 'Implemented secondary concept', 'bs': 'e-enable extensible e-tailers'}}","{'lat': '-14.3990', 'lng': '-120.7677'}","{'coord': {'lon': -120.7677, 'lat': -14.399}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 298.84, 'feels_like': 299.48, 'temp_min': 298.84, 'temp_max': 298.84, 'pressure': 1016, 'humidity': 77, 'sea_level': 1016, 'grnd_level': 1016}, 'visibility': 10000, 'wind': {'speed': 6.75, 'deg': 96, 'gust': 7.49}, 'clouds': {'all': 5}, 'dt': 1709052796, 'sys': {'sunrise': 1709042630, 'sunset': 1709087293}, 'timezone': -28800, 'id': 0, 'name': '', 'cod': 200}"
3983,3,11,4,85.04,2022-11-25,"{'id': 3, 'name': 'Clementine Bauch', 'username': 'Samantha', 'email': 'Nathan@yesenia.net', 'address': {'street': 'Douglas Extension', 'suite': 'Suite 847', 'city': 'McKenziehaven', 'zipcode': '59590-4157', 'geo': {'lat': '-68.6102', 'lng': '-47.0653'}}, 'phone': '1-463-123-4447', 'website': 'ramiro.info', 'company': {'name': 'Romaguera-Jacobson', 'catchPhrase': 'Face to face bifurcated interface', 'bs': 'e-enable strategic applications'}}","{'lat': '-68.6102', 'lng': '-47.0653'}","{'coord': {'lon': -47.0653, 'lat': -68.6102}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 273.91, 'feels_like': 268.88, 'temp_min': 273.91, 'temp_max': 273.91, 'pressure': 981, 'humidity': 93, 'sea_level': 981, 'grnd_level': 981}, 'visibility': 10000, 'wind': {'speed': 5.57, 'deg': 297, 'gust': 10.26}, 'clouds': {'all': 44}, 'dt': 1709052800, 'sys': {'sunrise': 1709019686, 'sunset': 1709074864}, 'timezone': -10800, 'id': 0, 'name': '', 'cod': 200}"
9464,10,15,6,45.41,2023-03-25,"{'id': 10, 'name': 'Clementina DuBuque', 'username': 'Moriah.Stanton', 'email': 'Rey.Padberg@karina.biz', 'address': {'street': 'Kattie Turnpike', 'suite': 'Suite 198', 'city': 'Lebsackbury', 'zipcode': '31428-2261', 'geo': {'lat': '-38.2386', 'lng': '57.2232'}}, 'phone': '024-648-3804', 'website': 'ambrose.net', 'company': {'name': 'Hoeger LLC', 'catchPhrase': 'Centralized empowering task-force', 'bs': 'target end-to-end models'}}","{'lat': '-38.2386', 'lng': '57.2232'}","{'coord': {'lon': 57.2232, 'lat': -38.2386}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 293.32, 'feels_like': 293.53, 'temp_min': 293.32, 'temp_max': 293.32, 'pressure': 1020, 'humidity': 82, 'sea_level': 1020, 'grnd_level': 1020}, 'visibility': 10000, 'wind': {'speed': 8.29, 'deg': 5, 'gust': 11.13}, 'clouds': {'all': 35}, 'dt': 1709052803, 'sys': {'sunrise': 1708998745, 'sunset': 1709045753}, 'timezone': 14400, 'id': 0, 'name': '', 'cod': 200}"
8272,9,11,1,71.7,2022-09-10,"{'id': 9, 'name': 'Glenna Reichert', 'username': 'Delphine', 'email': 'Chaim_McDermott@dana.io', 'address': {'street': 'Dayna Park', 'suite': 'Suite 449', 'city': 'Bartholomebury', 'zipcode': '76495-3109', 'geo': {'lat': '24.6463', 'lng': '-168.8889'}}, 'phone': '(775)976-6794 x41206', 'website': 'conrad.com', 'company': {'name': 'Yost and Sons', 'catchPhrase': 'Switchable contextually-based project', 'bs': 'aggregate real-time technologies'}}","{'lat': '24.6463', 'lng': '-168.8889'}","{'coord': {'lon': -168.8889, 'lat': 24.6463}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 295.44, 'feels_like': 295.81, 'temp_min': 295.44, 'temp_max': 295.44, 'pressure': 1022, 'humidity': 80, 'sea_level': 1022, 'grnd_level': 1022}, 'visibility': 10000, 'wind': {'speed': 7.82, 'deg': 109, 'gust': 9.2}, 'clouds': {'all': 100}, 'dt': 1709052792, 'sys': {'sunrise': 1709055617, 'sunset': 1709097402}, 'timezone': -36000, 'id': 0, 'name': '', 'cod': 200}"
3569,5,47,9,19.35,2023-05-25,"{'id': 5, 'name': 'Chelsey Dietrich', 'username': 'Kamren', 'email': 'Lucio_Hettinger@annie.ca', 'address': {'street': 'Skiles Walks', 'suite': 'Suite 351', 'city': 'Roscoeview', 'zipcode': '33263', 'geo': {'lat': '-31.8129', 'lng': '62.5342'}}, 'phone': '(254)954-1289', 'website': 'demarco.info', 'company': {'name': 'Keebler LLC', 'catchPhrase': 'User-centric fault-tolerant solution', 'bs': 'revolutionize end-to-end systems'}}","{'lat': '-31.8129', 'lng': '62.5342'}","{'coord': {'lon': 62.5342, 'lat': -31.8129}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 295.12, 'feels_like': 295.33, 'temp_min': 295.12, 'temp_max': 295.12, 'pressure': 1021, 'humidity': 75, 'sea_level': 1021, 'grnd_level': 1021}, 'visibility': 10000, 'wind': {'speed': 7.21, 'deg': 114, 'gust': 7.29}, 'clouds': {'all': 26}, 'dt': 1709052792, 'sys': {'sunrise': 1708997841, 'sunset': 1709044108}, 'timezone': 14400, 'id': 0, 'name': '', 'cod': 200}"
2997,7,49,1,39.54,2022-08-09,"{'id': 7, 'name': 'Kurtis Weissnat', 'username': 'Elwyn.Skiles', 'email': 'Telly.Hoeger@billy.biz', 'address': {'street': 'Rex Trail', 'suite': 'Suite 280', 'city': 'Howemouth', 'zipcode': '58804-1099', 'geo': {'lat': '24.8918', 'lng': '21.8984'}}, 'phone': '210.067.6132', 'website': 'elvis.io', 'company': {'name': 'Johns Group', 'catchPhrase': 'Configurable multimedia task-force', 'bs': 'generate enterprise e-tailers'}}","{'lat': '24.8918', 'lng': '21.8984'}","{'coord': {'lon': 21.8984, 'lat': 24.8918}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 292.08, 'feels_like': 290.37, 'temp_min': 292.08, 'temp_max': 292.08, 'pressure': 1015, 'humidity': 13, 'sea_level': 1015, 'grnd_level': 974}, 'visibility': 10000, 'wind': {'speed': 3.89, 'deg': 96, 'gust': 3.87}, 'clouds': {'all': 0}, 'dt': 1709052795, 'sys': {'sunrise': 1709009866, 'sunset': 1709051586}, 'timezone': 7200, 'id': 0, 'name': '', 'cod': 200}"
